,r1_vector,epsilon_vec,gamma_vector,delta_vector,prob_disturb_vec,severity_disturb_vec,omega_vec,optimal_spacing,prob_persistence
353,2,0.25,0.601,0.701,0.1,0.1,1.2,10,99.9991854362303
354,2,0.75,0.601,0.701,0.1,0.1,1.2,9,99.9980799533596
355,2,0.25,0.701,0.701,0.1,0.1,1.2,10,99.9992132502973
356,2,0.75,0.701,0.701,0.1,0.1,1.2,10,99.9976191604361
357,2,0.25,0.801,0.701,0.1,0.1,1.2,10,99.9990127141964
358,2,0.75,0.801,0.701,0.1,0.1,1.2,7,99.9980594064065
359,2,0.25,0.901,0.701,0.1,0.1,1.2,10,99.9991048253127
360,2,0.75,0.901,0.701,0.1,0.1,1.2,10,99.9974573840891
361,2,0.25,0.001,0.801,0.1,0.1,1.2,35,99.97607393509
362,2,0.75,0.001,0.801,0.1,0.1,1.2,25,99.9667361074167
363,2,0.25,0.101,0.801,0.1,0.1,1.2,10,99.9986752166982
364,2,0.75,0.101,0.801,0.1,0.1,1.2,10,99.9968622601452
365,2,0.25,0.201,0.801,0.1,0.1,1.2,11,99.9986525417982
